_id,apiUrl,capabilities,contextWindow,costPer1kTokens,description,displayNameBottom,displayNameTop,id,isActive,isFavorite,maxTokens,name,openrouterModelId,order,provider,subtitle
jn70qf3pnx8rz4jma22qsnx6rs7hk49b,https://generativelanguage.googleapis.com,"[""vision"",""web"",""documents"",""reasoning""]",2000000,0.0035,Advanced reasoning and multimodal capabilities,2.5 Pro,Gemini,gemini-2.5-pro-preview-06-05,TRUE,TRUE,8192,Gemini 2.5 Pro,google/gemini-2.5-pro-preview,2,google,
jn72756wst9n3bvps5s3rmdfg97hkbns,https://api.openai.com/v1/,"[""vision""]",32000,0.0002,Ultra-compact version of GPT 4.1,4.1 Nano,GPT,gpt-4.1-nano,TRUE,FALSE,2048,GPT 4.1 Nano,openai/gpt-4.1-nano,17,openai,
jn72bsaj5bxdwemzbf3eeh16kn7hk4a4,https://api.x.ai/v1/chat/completions,,128000,0.002,X.AI's advanced language model,3,Grok,grok-3-beta,TRUE,FALSE,8192,Grok 3,x-ai/grok-3-beta,32,x-ai,
jn72j3dsd7ryfrgqcvygemdqe97hjp0d,https://generativelanguage.googleapis.com,"[""vision"",""web"",""documents""]",1000000,0.000075,Enhanced reasoning with thinking mode (Thinking),2.5 Flash,Gemini,gemini-2.5-flash-preview-05-20-thinking,TRUE,FALSE,8192,Gemini 2.5 Flash,google/gemini-2.5-flash-preview-05-20:thinking,12,google,(Thinking)
jn72wy9ywvq1rgsw64a5ak7bw17hjm2r,https://api.openai.com/v1/,"[""vision"",""reasoning""]",128000,0.003,Efficient reasoning model,Mini,o4,o4-mini,TRUE,TRUE,65536,o4 mini,openai/o4-mini,4,openai,
jn7320m1adrbfgbza61nnr7q057hkfv8,https://api.openai.com/v1/,"[""reasoning""]",128000,0.008,Advanced reasoning model - compact version,Mini,o3,o3-mini,TRUE,FALSE,65536,o3 mini,openai/o3-mini,18,openai,
jn73fwp4n9syx7pavv0nbz7et57hjpm7,https://generativelanguage.googleapis.com,"[""vision""]",500000,0.000035,Lightweight version of Gemini 2.0 Flash,2.0 Lite,Gemini,gemini-2.0-flash-lite,TRUE,FALSE,4096,Gemini 2.0 Flash Lite,google/gemini-2.0-flash-lite-001,11,google,
jn744pjd6eaxr014qpm0vc43jn7hjdjf,https://openrouter.ai/api/v1/chat/completions,"[""reasoning""]",32768,0.0008,Qwen question-answering model (OpenRouter only),QwQ 32B,Qwen,Qwen/QwQ-32B,TRUE,FALSE,8192,Qwen qwkq-32b,qwen/qwq-32b-preview,34,qwen,
jn7456yyda7b08jj7g53ky0zn57hjrak,https://openrouter.ai/api/v1/chat/completions,"[""experimental""]",32768,0.0008,Alibaba's Qwen model (OpenRouter only),2.5 32b,Qwen,qwen2.5-32b-instruct,TRUE,FALSE,8192,Qwen 2.5 32b,qwen/qwen-2.5-72b-instruct,35,qwen,
jn747g7k09gf0xvsmb8g5x989h7hjr8a,https://api.deepseek.com/,"[""reasoning"",""experimental""]",32768,0.0001,Latest reasoning model (0528),R1,DeepSeek,deepseek-r1-0528,TRUE,FALSE,8192,DeepSeek R1,deepseek/deepseek-r1:free,30,deepseek,0528
jn74pr5a8gkmvxmsrcqxdeftwh7hjhh5,https://api.anthropic.com/v1/messages,"[""vision"",""documents""]",200000,0.015,Premium Claude model with advanced capabilities,4 Opus,Claude,claude-opus-4-20250514,TRUE,FALSE,8192,Claude 4 Opus,anthropic/claude-3-opus,23,anthropic,
jn74xgby1dvqtaxhrz1xpsjqps7hk2r6,https://api.together.xyz/v1/chat/completions,"[""experimental""]",32768,0.0009,Meta's large language model,3.3 70b,Llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,TRUE,FALSE,8192,Llama 3.3 70b,meta-llama/llama-3.3-70b-instruct,24,meta-llama,
jn75qjpr8m3a6dvrmdsg2f2mf17hj104,https://openrouter.ai/api/v1/chat/completions,"[""reasoning""]",32768,0.0001,Reasoning model via OpenRouter (OpenRouter),R1,DeepSeek,deepseek/deepseek-r1,TRUE,FALSE,8192,DeepSeek R1,deepseek/deepseek-r1:free,29,deepseek,(OpenRouter)
jn76j9c7vgvrrja0nfp9ag1m457hjj8q,https://api.openai.com/v1/,"[""vision"",""reasoning""]",200000,0.06,Advanced reasoning model,Full,o3,o3,TRUE,FALSE,100000,o3,openai/o3,19,openai,
jn777c60dharjq9mv644bkv36s7hj5w7,https://generativelanguage.googleapis.com,"[""vision"",""web"",""documents""]",1000000,0.000075,Fast multimodal model with enhanced capabilities,2.5 Flash,Gemini,gemini-2.5-flash-preview-05-20,TRUE,TRUE,8192,Gemini 2.5 Flash,google/gemini-2.5-flash-preview,1,google,
jn77fpkmjj34ndyzwmne2earx97hjxdk,https://api.anthropic.com/v1/messages,"[""vision"",""documents""]",200000,0.0035,Enhanced Claude model,3.7 Sonnet,Claude,claude-3-7-sonnet-20250219,TRUE,FALSE,8192,Claude 3.7 Sonnet,anthropic/claude-3.7-sonnet,21,anthropic,
jn77s59qtrwa1dp7437m8qyqc57hk27g,https://api.together.xyz/v1/chat/completions,"[""vision""]",64000,0.0005,Next-gen Meta model - Scout variant,4 Scout,Llama,meta-llama/Llama-4-Scout-17B-16E-Instruct,TRUE,FALSE,8192,Llama 4 Scout,meta-llama/llama-4-scout,25,meta-llama,
jn7893xjseskesa5paztz30a1x7hjd0z,https://api.openai.com/v1/images/generations,"[""vision"",""image-generation""]",4000,0.04,OpenAI image generation model,ImageGen,GPT,gpt-image-1,TRUE,TRUE,1000,GPT ImageGen,,3,openai,
jn78bd9j9cjg8te08cbm5r574n7hk727,https://generativelanguage.googleapis.com,"[""vision"",""web"",""documents""]",1000000,0.000075,Fast model with multimodal capabilities,2.0 Flash,Gemini,gemini-2.0-flash,TRUE,FALSE,8192,Gemini 2.0 Flash,google/gemini-2.0-flash-001,10,google,
jn78s1g578r9092v8cemy7vqt17hkw70,https://api.together.xyz/v1/chat/completions,"[""experimental""]",128000,0.0005,Next-gen Meta model - Maverick variant,4 Maverick,Llama,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,TRUE,FALSE,8192,Llama 4 Maverick,meta-llama/llama-4-maverick,26,meta-llama,
jn79z65sxxyr6ve7q2d0m1h9cn7hjkjs,https://api.deepseek.com/,"[""reasoning""]",32768,0.0001,Distilled reasoning model (Llama Distilled),R1 Llama,DeepSeek,deepseek-r1-llama-70b,TRUE,TRUE,8192,DeepSeek R1,deepseek/deepseek-r1-distill-llama-70b,7,deepseek,(Llama Distilled)
jn7ajv8jpg4jse1f7nfkkpan7x7hk1dy,https://api.x.ai/v1/chat/completions,"[""reasoning"",""experimental""]",64000,0.0005,Compact version of Grok 3,3 Mini,Grok,grok-3-mini-beta,TRUE,FALSE,4096,Grok 3 Mini,x-ai/grok-3-mini-beta,33,x-ai,
jn7b07rhhn01tb29bt9a5kh3hn7hk6p2,https://api.openai.com/v1/,"[""vision""]",128000,0.0025,OpenAI's flagship multimodal model,4o,GPT,gpt-4o,TRUE,FALSE,4096,GPT 4o,openai/gpt-4o,14,openai,
jn7c3sqp73w5ayc6s0ddta372h7hkkng,https://api.fireworks.ai/inference/v1,"[""experimental""]",64000,0.0002,Advanced model via Fireworks (Fireworks),V3,DeepSeek,accounts/fireworks/models/deepseek-v3,TRUE,FALSE,8192,DeepSeek v3,deepseek/deepseek-chat-v3-0324,27,deepseek,(Fireworks)
jn7c7dn8f80srtnmsrrq6yk0g97hjvxm,https://api.anthropic.com/v1/messages,"[""vision"",""documents""]",200000,0.003,Advanced language model with exceptional reasoning,4 Sonnet,Claude,claude-sonnet-4-20250514,TRUE,TRUE,8192,Claude 4 Sonnet,anthropic/claude-3.5-sonnet,5,anthropic,
jn7cwtyje8ffyr4wj9v80c5kwd7hjbwj,https://api.anthropic.com/v1/messages,"[""vision"",""documents""]",200000,0.003,Balanced Claude model,3.5 Sonnet,Claude,claude-3-5-sonnet-20240620,TRUE,FALSE,8192,Claude 3.5 Sonnet,anthropic/claude-3.5-sonnet-20240620,20,anthropic,
jn7cxzrqc95gahb9as15t2wvgd7hkbb2,https://api.openai.com/v1/,"[""vision""]",200000,0.005,Next generation OpenAI preview model,4.5,GPT,gpt-4.5-preview,TRUE,FALSE,8192,GPT 4.5,openai/gpt-4.5-preview,36,openai,
jn7e6sr0m36na588b8qc03zn897hj0mc,https://api.deepseek.com/,"[""reasoning"",""experimental""]",32768,0.0001,Distilled reasoning model (Qwen Distilled),R1 Qwen,DeepSeek,deepseek-r1-distilled-qwen-32b,TRUE,FALSE,8192,DeepSeek R1,deepseek/deepseek-r1-distill-qwen-32b,31,deepseek,(Qwen Distilled)
jn7ebpsp2cc4ctxqkge2rrdc4n7hktpy,https://api.anthropic.com/v1/messages,"[""vision"",""documents"",""reasoning""]",200000,0.003,Enhanced reasoning capabilities (Reasoning),4 Sonnet,Claude,claude-sonnet-4-20250514-reasoning,TRUE,TRUE,8192,Claude 4 Sonnet,anthropic/claude-3.7-sonnet:thinking,6,anthropic,(Reasoning)
jn7ec8f56xkfcwg20gc20wtn6h7hjxmp,https://api.openai.com/v1/,"[""vision""]",128000,0.0008,Compact version of GPT 4.1,4.1 Mini,GPT,gpt-4.1-mini,TRUE,FALSE,4096,GPT 4.1 Mini,openai/gpt-4.1-mini,16,openai,
jn7edakg8bqdtv4xtgasv0cg9h7hjh0x,https://api.openai.com/v1/,"[""vision""]",200000,0.003,Next generation OpenAI model,4.1,GPT,gpt-4.1,TRUE,FALSE,8192,GPT 4.1,openai/gpt-4.1,15,openai,
jn7f3qce9avbreyzsdfveav64s7hj5e5,https://api.deepseek.com/,"[""experimental""]",64000,0.0001,Latest DeepSeek model (0324),V3,DeepSeek,deepseek-v3-0324,TRUE,FALSE,8192,DeepSeek v3,deepseek/deepseek-chat-v3-0324,28,deepseek,0324
jn7f6s0tpewp8taa6ebcw7rz057hj59t,https://api.openai.com/v1/,"[""vision""]",128000,0.00015,Compact and efficient OpenAI model,4o Mini,GPT,gpt-4o-mini,TRUE,FALSE,16384,GPT 4o-mini,openai/gpt-4o-mini,13,openai,
jn7ffjrvfbtd54sggmh0nm6f3h7hk5sp,https://api.anthropic.com/v1/messages,"[""vision"",""documents"",""reasoning""]",200000,0.0035,Enhanced reasoning capabilities (Reasoning),3.7 Sonnet,Claude,claude-3-7-sonnet-20250219-reasoning,TRUE,FALSE,8192,Claude 3.7 Sonnet,anthropic/claude-3.7-sonnet:thinking,22,anthropic,(Reasoning)